JWMNP,HINCP,AGEP,HUPAOC,NATIVITY,SEX,SCHL,PUMA,ST,
0,3000,28,4,1,1,22,03810,36,
0,203000,37,1,1,2,21,03810,36,
30,203000,40,1,1,1,19,03810,36,
0,203000,1,1,1,2,0,03810,36,
0,130000,34,4,1,2,21,03810,36,
0,6000,70,4,2,2,16,03810,36,
5,80000,26,4,2,1,21,03810,36,
10,305350,30,4,1,1,21,03810,36,
0,305350,33,4,1,2,21,03810,36,
30,375000,29,4,2,1,22,03810,36,
0,375000,12,4,1,1,9,03810,36,
0,442700,72,4,2,1,21,03810,36,
0,442700,72,4,2,2,21,03810,36,
0,60000,23,4,1,2,21,03810,36,
0,60000,25,4,1,2,21,03810,36,
0,116000,83,4,1,1,22,03810,36,
0,116000,81,4,1,2,22,03810,36,
25,1420600,68,4,1,1,21,03810,36,
0,1420600,69,4,1,2,19,03810,36,
0,15000,26,4,2,2,22,03810,36,
30,80000,62,4,1,2,21,03810,36,
15,25000,50,4,1,2,20,03810,36,
0,12300,78,4,1,2,22,03810,36,
0,39700,89,4,1,2,16,03810,36,
20,67000,40,4,1,1,21,03810,36,
0,1078000,49,2,1,2,22,03810,36,
0,1078000,47,2,1,1,23,03810,36,
0,1078000,12,2,1,2,8,03810,36,
0,1078000,11,2,1,1,7,03810,36,
0,196900,29,4,1,2,21,03810,36,
0,196900,27,4,1,2,21,03810,36,
30,93500,42,4,1,2,22,03810,36,
0,93500,35,4,1,2,21,03810,36,
0,106300,78,4,1,1,22,03810,36,
0,106300,78,4,1,2,18,03810,36,
20,160000,53,2,1,2,21,03810,36,
20,160000,49,2,2,1,17,03810,36,
0,160000,16,2,1,1,13,03810,36,
0,160000,14,2,1,2,11,03810,36,
0,160000,12,2,1,1,9,03810,36,
0,160000,10,2,1,1,7,03810,36,
20,53600,66,4,1,1,24,03810,36,
0,91700,89,4,2,2,16,03810,36,
0,150000,51,4,2,2,24,03810,36,
0,60300,78,4,1,2,16,03810,36,
30,190000,28,4,1,2,21,03810,36,
